split,augmentation,source_image,output_image,source_label,output_label
train,original,crack_00001.jpg,crack_00001.jpg,crack_00001.txt,crack_00001.txt
train,original,crack_00003.jpg,crack_00003.jpg,crack_00003.txt,crack_00003.txt
train,original,crack_00004.jpg,crack_00004.jpg,crack_00004.txt,crack_00004.txt
train,original,crack_00006.jpg,crack_00006.jpg,crack_00006.txt,crack_00006.txt
train,original,crack_00009.jpg,crack_00009.jpg,crack_00009.txt,crack_00009.txt
train,original,crack_00010.jpg,crack_00010.jpg,crack_00010.txt,crack_00010.txt
train,original,crack_00011.jpg,crack_00011.jpg,crack_00011.txt,crack_00011.txt
train,original,crack_00012.jpg,crack_00012.jpg,crack_00012.txt,crack_00012.txt
train,original,crack_00013.jpg,crack_00013.jpg,crack_00013.txt,crack_00013.txt
train,original,crack_00016.jpg,crack_00016.jpg,crack_00016.txt,crack_00016.txt
train,original,crack_00018.jpg,crack_00018.jpg,crack_00018.txt,crack_00018.txt
train,original,crack_00019.jpg,crack_00019.jpg,crack_00019.txt,crack_00019.txt
train,original,crack_00021.jpg,crack_00021.jpg,crack_00021.txt,crack_00021.txt
train,original,crack_00022.jpg,crack_00022.jpg,crack_00022.txt,crack_00022.txt
train,original,crack_00023.jpg,crack_00023.jpg,crack_00023.txt,crack_00023.txt
train,original,crack_00025.jpg,crack_00025.jpg,crack_00025.txt,crack_00025.txt
train,original,crack_00026.jpg,crack_00026.jpg,crack_00026.txt,crack_00026.txt
train,original,crack_00027.jpg,crack_00027.jpg,crack_00027.txt,crack_00027.txt
train,original,crack_00028.jpg,crack_00028.jpg,crack_00028.txt,crack_00028.txt
train,original,crack_00029.jpg,crack_00029.jpg,crack_00029.txt,crack_00029.txt
train,original,crack_00030.jpg,crack_00030.jpg,crack_00030.txt,crack_00030.txt
train,original,crack_00032.jpg,crack_00032.jpg,crack_00032.txt,crack_00032.txt
train,original,crack_00033.jpg,crack_00033.jpg,crack_00033.txt,crack_00033.txt
train,original,crack_00034.jpg,crack_00034.jpg,crack_00034.txt,crack_00034.txt
train,original,crack_00035.jpg,crack_00035.jpg,crack_00035.txt,crack_00035.txt
train,original,crack_00036.jpg,crack_00036.jpg,crack_00036.txt,crack_00036.txt
train,original,crack_00037.jpg,crack_00037.jpg,crack_00037.txt,crack_00037.txt
train,original,crack_00038.jpg,crack_00038.jpg,crack_00038.txt,crack_00038.txt
train,original,crack_00039.jpg,crack_00039.jpg,crack_00039.txt,crack_00039.txt
train,original,crack_00041.jpg,crack_00041.jpg,crack_00041.txt,crack_00041.txt
train,original,crack_00042.jpg,crack_00042.jpg,crack_00042.txt,crack_00042.txt
train,original,crack_00043.jpg,crack_00043.jpg,crack_00043.txt,crack_00043.txt
train,original,crack_00045.jpg,crack_00045.jpg,crack_00045.txt,crack_00045.txt
train,original,crack_00046.jpg,crack_00046.jpg,crack_00046.txt,crack_00046.txt
train,original,crack_00047.jpg,crack_00047.jpg,crack_00047.txt,crack_00047.txt
train,original,crack_00048.jpg,crack_00048.jpg,crack_00048.txt,crack_00048.txt
train,original,crack_00050.jpg,crack_00050.jpg,crack_00050.txt,crack_00050.txt
train,original,crack_00053.jpg,crack_00053.jpg,crack_00053.txt,crack_00053.txt
train,original,crack_00054.jpg,crack_00054.jpg,crack_00054.txt,crack_00054.txt
train,original,crack_00056.jpg,crack_00056.jpg,crack_00056.txt,crack_00056.txt
train,original,crack_00057.jpg,crack_00057.jpg,crack_00057.txt,crack_00057.txt
train,original,crack_00058.jpg,crack_00058.jpg,crack_00058.txt,crack_00058.txt
train,original,crack_00059.jpg,crack_00059.jpg,crack_00059.txt,crack_00059.txt
train,original,crack_00060.jpg,crack_00060.jpg,crack_00060.txt,crack_00060.txt
train,original,crack_00061.jpg,crack_00061.jpg,crack_00061.txt,crack_00061.txt
