source_key	target_key	equal
model.0.conv.weight	model.0.conv.weight	True
model.0.norm.weight	model.0.norm.weight	True
model.0.norm.bias	model.0.norm.bias	True
model.0.norm.running_mean	model.0.norm.running_mean	True
model.0.norm.running_var	model.0.norm.running_var	True
model.0.norm.num_batches_tracked	model.0.norm.num_batches_tracked	True
model.1.conv.weight	model.1.conv.weight	True
model.1.norm.weight	model.1.norm.weight	True
model.1.norm.bias	model.1.norm.bias	True
model.1.norm.running_mean	model.1.norm.running_mean	True
model.1.norm.running_var	model.1.norm.running_var	True
model.1.norm.num_batches_tracked	model.1.norm.num_batches_tracked	True
model.2.conv.weight	model.2.conv.weight	True
model.2.norm.weight	model.2.norm.weight	True
model.2.norm.bias	model.2.norm.bias	True
model.2.norm.running_mean	model.2.norm.running_mean	True
model.2.norm.running_var	model.2.norm.running_var	True
model.2.norm.num_batches_tracked	model.2.norm.num_batches_tracked	True
model.4.blocks.0.short.conv.weight	model.4.blocks.0.short.conv.weight	True
model.4.blocks.0.short.norm.weight	model.4.blocks.0.short.norm.weight	True
model.4.blocks.0.short.norm.bias	model.4.blocks.0.short.norm.bias	True
model.4.blocks.0.short.norm.running_mean	model.4.blocks.0.short.norm.running_mean	True
model.4.blocks.0.short.norm.running_var	model.4.blocks.0.short.norm.running_var	True
model.4.blocks.0.short.norm.num_batches_tracked	model.4.blocks.0.short.norm.num_batches_tracked	True
model.4.blocks.0.branch2a.conv.weight	model.4.blocks.0.branch2a.conv.weight	True
model.4.blocks.0.branch2a.norm.weight	model.4.blocks.0.branch2a.norm.weight	True
model.4.blocks.0.branch2a.norm.bias	model.4.blocks.0.branch2a.norm.bias	True
model.4.blocks.0.branch2a.norm.running_mean	model.4.blocks.0.branch2a.norm.running_mean	True
model.4.blocks.0.branch2a.norm.running_var	model.4.blocks.0.branch2a.norm.running_var	True
model.4.blocks.0.branch2a.norm.num_batches_tracked	model.4.blocks.0.branch2a.norm.num_batches_tracked	True
model.4.blocks.0.branch2b.conv.weight	model.4.blocks.0.branch2b.conv.weight	True
model.4.blocks.0.branch2b.norm.weight	model.4.blocks.0.branch2b.norm.weight	True
model.4.blocks.0.branch2b.norm.bias	model.4.blocks.0.branch2b.norm.bias	True
model.4.blocks.0.branch2b.norm.running_mean	model.4.blocks.0.branch2b.norm.running_mean	True
model.4.blocks.0.branch2b.norm.running_var	model.4.blocks.0.branch2b.norm.running_var	True
model.4.blocks.0.branch2b.norm.num_batches_tracked	model.4.blocks.0.branch2b.norm.num_batches_tracked	True
model.4.blocks.1.branch2a.conv.weight	model.4.blocks.1.branch2a.conv.weight	True
model.4.blocks.1.branch2a.norm.weight	model.4.blocks.1.branch2a.norm.weight	True
model.4.blocks.1.branch2a.norm.bias	model.4.blocks.1.branch2a.norm.bias	True
model.4.blocks.1.branch2a.norm.running_mean	model.4.blocks.1.branch2a.norm.running_mean	True
model.4.blocks.1.branch2a.norm.running_var	model.4.blocks.1.branch2a.norm.running_var	True
model.4.blocks.1.branch2a.norm.num_batches_tracked	model.4.blocks.1.branch2a.norm.num_batches_tracked	True
model.4.blocks.1.branch2b.conv.weight	model.4.blocks.1.branch2b.conv.weight	True
model.4.blocks.1.branch2b.norm.weight	model.4.blocks.1.branch2b.norm.weight	True
model.4.blocks.1.branch2b.norm.bias	model.4.blocks.1.branch2b.norm.bias	True
model.4.blocks.1.branch2b.norm.running_mean	model.4.blocks.1.branch2b.norm.running_mean	True
model.4.blocks.1.branch2b.norm.running_var	model.4.blocks.1.branch2b.norm.running_var	True
model.4.blocks.1.branch2b.norm.num_batches_tracked	model.4.blocks.1.branch2b.norm.num_batches_tracked	True
model.5.blocks.0.short.conv.conv.weight	model.5.blocks.0.short.conv.conv.weight	True
model.5.blocks.0.short.conv.norm.weight	model.5.blocks.0.short.conv.norm.weight	True
model.5.blocks.0.short.conv.norm.bias	model.5.blocks.0.short.conv.norm.bias	True
model.5.blocks.0.short.conv.norm.running_mean	model.5.blocks.0.short.conv.norm.running_mean	True
model.5.blocks.0.short.conv.norm.running_var	model.5.blocks.0.short.conv.norm.running_var	True
model.5.blocks.0.short.conv.norm.num_batches_tracked	model.5.blocks.0.short.conv.norm.num_batches_tracked	True
model.5.blocks.0.branch2a.conv.weight	model.5.blocks.0.branch2a.conv.weight	True
model.5.blocks.0.branch2a.norm.weight	model.5.blocks.0.branch2a.norm.weight	True
model.5.blocks.0.branch2a.norm.bias	model.5.blocks.0.branch2a.norm.bias	True
model.5.blocks.0.branch2a.norm.running_mean	model.5.blocks.0.branch2a.norm.running_mean	True
model.5.blocks.0.branch2a.norm.running_var	model.5.blocks.0.branch2a.norm.running_var	True
model.5.blocks.0.branch2a.norm.num_batches_tracked	model.5.blocks.0.branch2a.norm.num_batches_tracked	True
model.5.blocks.0.branch2b.conv.weight	model.5.blocks.0.branch2b.conv.weight	True
model.5.blocks.0.branch2b.norm.weight	model.5.blocks.0.branch2b.norm.weight	True
model.5.blocks.0.branch2b.norm.bias	model.5.blocks.0.branch2b.norm.bias	True
model.5.blocks.0.branch2b.norm.running_mean	model.5.blocks.0.branch2b.norm.running_mean	True
model.5.blocks.0.branch2b.norm.running_var	model.5.blocks.0.branch2b.norm.running_var	True
model.5.blocks.0.branch2b.norm.num_batches_tracked	model.5.blocks.0.branch2b.norm.num_batches_tracked	True
model.5.blocks.1.branch2a.conv.weight	model.5.blocks.1.branch2a.conv.weight	True
model.5.blocks.1.branch2a.norm.weight	model.5.blocks.1.branch2a.norm.weight	True
model.5.blocks.1.branch2a.norm.bias	model.5.blocks.1.branch2a.norm.bias	True
model.5.blocks.1.branch2a.norm.running_mean	model.5.blocks.1.branch2a.norm.running_mean	True
model.5.blocks.1.branch2a.norm.running_var	model.5.blocks.1.branch2a.norm.running_var	True
model.5.blocks.1.branch2a.norm.num_batches_tracked	model.5.blocks.1.branch2a.norm.num_batches_tracked	True
model.5.blocks.1.branch2b.conv.weight	model.5.blocks.1.branch2b.conv.weight	True
model.5.blocks.1.branch2b.norm.weight	model.5.blocks.1.branch2b.norm.weight	True
model.5.blocks.1.branch2b.norm.bias	model.5.blocks.1.branch2b.norm.bias	True
model.5.blocks.1.branch2b.norm.running_mean	model.5.blocks.1.branch2b.norm.running_mean	True
model.5.blocks.1.branch2b.norm.running_var	model.5.blocks.1.branch2b.norm.running_var	True
model.5.blocks.1.branch2b.norm.num_batches_tracked	model.5.blocks.1.branch2b.norm.num_batches_tracked	True
model.6.blocks.0.short.conv.conv.weight	model.6.blocks.0.short.conv.conv.weight	True
model.6.blocks.0.short.conv.norm.weight	model.6.blocks.0.short.conv.norm.weight	True
model.6.blocks.0.short.conv.norm.bias	model.6.blocks.0.short.conv.norm.bias	True
model.6.blocks.0.short.conv.norm.running_mean	model.6.blocks.0.short.conv.norm.running_mean	True
model.6.blocks.0.short.conv.norm.running_var	model.6.blocks.0.short.conv.norm.running_var	True
model.6.blocks.0.short.conv.norm.num_batches_tracked	model.6.blocks.0.short.conv.norm.num_batches_tracked	True
model.6.blocks.0.branch2a.conv.weight	model.6.blocks.0.branch2a.conv.weight	True
model.6.blocks.0.branch2a.norm.weight	model.6.blocks.0.branch2a.norm.weight	True
model.6.blocks.0.branch2a.norm.bias	model.6.blocks.0.branch2a.norm.bias	True
model.6.blocks.0.branch2a.norm.running_mean	model.6.blocks.0.branch2a.norm.running_mean	True
model.6.blocks.0.branch2a.norm.running_var	model.6.blocks.0.branch2a.norm.running_var	True
model.6.blocks.0.branch2a.norm.num_batches_tracked	model.6.blocks.0.branch2a.norm.num_batches_tracked	True
model.6.blocks.0.branch2b.conv.weight	model.6.blocks.0.branch2b.conv.weight	True
model.6.blocks.0.branch2b.norm.weight	model.6.blocks.0.branch2b.norm.weight	True
model.6.blocks.0.branch2b.norm.bias	model.6.blocks.0.branch2b.norm.bias	True
model.6.blocks.0.branch2b.norm.running_mean	model.6.blocks.0.branch2b.norm.running_mean	True
model.6.blocks.0.branch2b.norm.running_var	model.6.blocks.0.branch2b.norm.running_var	True
model.6.blocks.0.branch2b.norm.num_batches_tracked	model.6.blocks.0.branch2b.norm.num_batches_tracked	True
model.6.blocks.1.branch2a.conv.weight	model.6.blocks.1.branch2a.conv.weight	True
model.6.blocks.1.branch2a.norm.weight	model.6.blocks.1.branch2a.norm.weight	True
model.6.blocks.1.branch2a.norm.bias	model.6.blocks.1.branch2a.norm.bias	True
model.6.blocks.1.branch2a.norm.running_mean	model.6.blocks.1.branch2a.norm.running_mean	True
model.6.blocks.1.branch2a.norm.running_var	model.6.blocks.1.branch2a.norm.running_var	True
model.6.blocks.1.branch2a.norm.num_batches_tracked	model.6.blocks.1.branch2a.norm.num_batches_tracked	True
model.6.blocks.1.branch2b.conv.weight	model.6.blocks.1.branch2b.conv.weight	True
model.6.blocks.1.branch2b.norm.weight	model.6.blocks.1.branch2b.norm.weight	True
model.6.blocks.1.branch2b.norm.bias	model.6.blocks.1.branch2b.norm.bias	True
model.6.blocks.1.branch2b.norm.running_mean	model.6.blocks.1.branch2b.norm.running_mean	True
model.6.blocks.1.branch2b.norm.running_var	model.6.blocks.1.branch2b.norm.running_var	True
model.6.blocks.1.branch2b.norm.num_batches_tracked	model.6.blocks.1.branch2b.norm.num_batches_tracked	True
model.7.blocks.0.short.conv.conv.weight	model.7.blocks.0.short.conv.conv.weight	True
model.7.blocks.0.short.conv.norm.weight	model.7.blocks.0.short.conv.norm.weight	True
model.7.blocks.0.short.conv.norm.bias	model.7.blocks.0.short.conv.norm.bias	True
model.7.blocks.0.short.conv.norm.running_mean	model.7.blocks.0.short.conv.norm.running_mean	True
model.7.blocks.0.short.conv.norm.running_var	model.7.blocks.0.short.conv.norm.running_var	True
model.7.blocks.0.short.conv.norm.num_batches_tracked	model.7.blocks.0.short.conv.norm.num_batches_tracked	True
model.7.blocks.0.branch2a.conv.weight	model.7.blocks.0.branch2a.conv.weight	True
