epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,178.587,1.42947,0.45457,0.82451,0.09024,0.10421,0.03303,0.00785,1.54705,0.70754,1.02537,9.97354e-05,9.97354e-05,0.0801526
2,329.09,1.18394,0.51281,0.65548,0.24848,0.33808,0.19833,0.05066,0.93198,0.62595,0.50402,0.000199723,0.000199723,0.0602526
3,482.411,0.79237,0.76074,0.35313,0.22927,0.36908,0.21032,0.08428,0.59143,1.01306,0.27552,0.000299662,0.000299662,0.0403526
4,641.011,0.68458,0.83971,0.28708,0.27008,0.41078,0.26054,0.10865,0.54981,1.01586,0.25387,0.000399516,0.000399516,0.0204524
5,790.527,0.64243,0.8587,0.26397,0.30985,0.45081,0.29456,0.1188,0.55864,0.97154,0.25115,0.000499247,0.000499247,0.000552157
6,944.18,0.63247,0.81954,0.26217,0.27851,0.46121,0.27278,0.11235,0.57133,0.93268,0.29211,0.000499237,0.000499237,0.000499237
7,1090.62,0.63396,0.79281,0.26241,0.34747,0.48485,0.3494,0.14309,0.56886,0.88678,0.25903,0.000498902,0.000498902,0.000498902
8,1245.21,0.62821,0.77957,0.26211,0.34479,0.48754,0.34469,0.13689,0.58724,0.87608,0.27785,0.000498505,0.000498505,0.000498505
9,1399.63,0.62374,0.7648,0.25986,0.3729,0.49587,0.37507,0.15235,0.59286,0.82436,0.27987,0.000498048,0.000498048,0.000498048
10,1547.7,0.61682,0.76247,0.25725,0.39214,0.51526,0.40322,0.16979,0.55773,0.83571,0.26049,0.000497531,0.000497531,0.000497531
11,1692.78,0.6083,0.76687,0.25181,0.38168,0.49213,0.38281,0.15784,0.56355,0.86887,0.26952,0.000496953,0.000496953,0.000496953
12,1834.32,0.60662,0.75445,0.25309,0.34989,0.46807,0.34127,0.14099,0.58379,0.8387,0.30075,0.000496315,0.000496315,0.000496315
13,1978.18,0.60765,0.75228,0.25284,0.36524,0.48131,0.35883,0.15001,0.5637,0.87285,0.28663,0.000495616,0.000495616,0.000495616
14,2132.49,0.60129,0.74204,0.25157,0.36651,0.48546,0.3666,0.1508,0.57154,0.87129,0.28204,0.000494858,0.000494858,0.000494858
15,2286.1,0.60194,0.74026,0.25178,0.4138,0.51377,0.42091,0.18106,0.54771,0.82667,0.25949,0.000494039,0.000494039,0.000494039
16,2439.28,0.59713,0.73263,0.25144,0.40304,0.51012,0.40511,0.17131,0.56562,0.82688,0.28604,0.000493162,0.000493162,0.000493162
17,2587.22,0.59857,0.72863,0.25053,0.41864,0.50023,0.4157,0.17392,0.56565,0.81542,0.26133,0.000492224,0.000492224,0.000492224
18,2736.12,0.59786,0.72288,0.25061,0.40668,0.50646,0.40387,0.16572,0.59161,0.79822,0.29873,0.000491228,0.000491228,0.000491228
19,2895.08,0.58634,0.71963,0.24577,0.46331,0.52539,0.47132,0.2072,0.5484,0.81109,0.24752,0.000490173,0.000490173,0.000490173
20,3048.22,0.58939,0.71094,0.24839,0.43085,0.52204,0.43189,0.187,0.56065,0.80075,0.26916,0.000489059,0.000489059,0.000489059
21,3200.53,0.58897,0.72006,0.24871,0.44792,0.53131,0.46087,0.20388,0.53918,0.80926,0.2479,0.000487886,0.000487886,0.000487886
22,3348.07,0.58693,0.70995,0.24549,0.37663,0.47547,0.36371,0.15253,0.57517,0.85845,0.30564,0.000486656,0.000486656,0.000486656
23,3499.38,0.58436,0.70597,0.24671,0.46625,0.54447,0.47269,0.1935,0.58968,0.7919,0.27048,0.000485368,0.000485368,0.000485368
24,3646.63,0.58245,0.69663,0.24533,0.4068,0.49782,0.3947,0.16613,0.57806,0.83283,0.30454,0.000484022,0.000484022,0.000484022
25,3799.47,0.58155,0.70353,0.24424,0.43614,0.5366,0.44598,0.19312,0.54465,0.81298,0.2584,0.00048262,0.00048262,0.00048262
26,3950.01,0.58128,0.69434,0.244,0.44507,0.54478,0.45029,0.19407,0.56043,0.7853,0.27091,0.00048116,0.00048116,0.00048116
27,4098.58,0.57875,0.69065,0.24505,0.49281,0.56771,0.50974,0.22566,0.54439,0.75381,0.25412,0.000479644,0.000479644,0.000479644
28,4250.21,0.58347,0.68842,0.24544,0.41699,0.50724,0.41936,0.18297,0.56445,0.81022,0.28408,0.000478072,0.000478072,0.000478072
29,4394.37,0.57762,0.68399,0.24349,0.46113,0.55833,0.4675,0.20072,0.56733,0.77236,0.27877,0.000476445,0.000476445,0.000476445
30,4542.67,0.57683,0.68001,0.24401,0.50239,0.56173,0.51119,0.21696,0.58133,0.7348,0.26798,0.000474762,0.000474762,0.000474762
31,4689.52,0.57252,0.68097,0.24336,0.52012,0.58076,0.53119,0.23024,0.57219,0.71833,0.26305,0.000473024,0.000473024,0.000473024
32,4833.32,0.57652,0.67759,0.24397,0.51334,0.58629,0.52821,0.23083,0.56223,0.74163,0.25911,0.000471232,0.000471232,0.000471232
33,4975.28,0.57579,0.67068,0.24156,0.50118,0.59128,0.51712,0.22325,0.57803,0.71671,0.26788,0.000469386,0.000469386,0.000469386
34,5115.52,0.57435,0.66819,0.24235,0.54252,0.59143,0.54722,0.24029,0.5704,0.7108,0.25988,0.000467486,0.000467486,0.000467486
35,5256,0.57409,0.67486,0.24266,0.51153,0.5838,0.52875,0.23282,0.56134,0.73044,0.2595,0.000465534,0.000465534,0.000465534
36,5406.19,0.57514,0.66878,0.24292,0.49852,0.57227,0.51329,0.22468,0.56016,0.75191,0.25039,0.000463528,0.000463528,0.000463528
37,5552.98,0.57047,0.66235,0.24125,0.48722,0.58349,0.50945,0.22664,0.5596,0.74541,0.26784,0.000461471,0.000461471,0.000461471
38,5703.2,0.56894,0.66391,0.23982,0.46543,0.56599,0.47361,0.2107,0.55738,0.75546,0.27424,0.000459362,0.000459362,0.000459362
39,5856.09,0.57289,0.6598,0.24331,0.56371,0.60628,0.57452,0.25305,0.58151,0.67806,0.26457,0.000457202,0.000457202,0.000457202
40,6009.29,0.56783,0.65839,0.24155,0.49542,0.5852,0.51881,0.22564,0.57408,0.7233,0.27099,0.000454992,0.000454992,0.000454992
41,6161.51,0.56734,0.6573,0.2392,0.50293,0.59282,0.52344,0.23317,0.55028,0.74091,0.26474,0.000452732,0.000452732,0.000452732
42,6311.81,0.57216,0.64932,0.24158,0.54109,0.6033,0.56188,0.25241,0.56638,0.69479,0.26324,0.000450422,0.000450422,0.000450422
43,6460.01,0.56808,0.64816,0.24234,0.54812,0.60927,0.56791,0.25169,0.58221,0.68243,0.27055,0.000448063,0.000448063,0.000448063
